TAG,FILENAME,DOCUMENTATION,PREREQUISITE,ENVIRONMENT SPECIFIC DATA,REUSABLE DATA,DYNAMIC DATA,TEST CASE NAME
AbsenceHRTestCase, "td_ABS_TC001_Absence_plan_enrollment_of_newly_hired_employee(HR)", Absence plan enrollment of a newly hired employee (HR), HR-81 and  Employee should be an new hire, Login User; Person Name, Not Applicable, Employee Hired Date is should be an hired date of an employee, ABS_TC001_Absence_plan_enrollment_of_newly_hired_employee_HR.robot
AbsenceHRTestCase, "td_ABS_TC002_Update_absence_plan_enrollment_due_to_promotion_demotion_transfer_etc_for_an_employee", Update Absence plan enrollment - Promotion/transfer/ Demotion, HR-16; HR-86; HR-17, Login User; Person Name; Person Number, Parent Action; Child Action; Accruals Plan; Date; Status, Not Applicable, ABS_TC002_Update_absence_plan_enrollment_due_to_promotion_demotion_transfer_etc_for_an_employee.robot
AbsenceHRTestCase, "td_ABS_TC004_Validate_Absence_Plans_Upon_Termination", Absence HR - Validate absence plans upon termination, DC09, Login User meeting the prerequisite; Person number; Person Name, Parent Action;Child Action;Accruals Plan;Status; Accruals Plan Effective date, Not applicable, ABS_TC004_Validate_Absence_Plans_Upon_Termination.robot
AbsenceHRTestCase, "td_ABS_TC005_Qualification_Absence_Record_Creation_For_An_Employee", Qualification Absence Record Creation For an Employee, Person number from ORC as a Converted Employee, , Absence Type; Absence Start Date; Absence End date; Absence Reason, NA, ABS_TC005_Qualification_Absence_Record_Creation_For_An_Employee.robot
AbsenceHRTestCase, "td_ABS_TC006_HR_Absence_Reports", HR Absence Reports, Not Applicable, Login User, Folder Name; Report Name, Not Applicable, ABS_TC006_HR_Absence_Reports.robot
PFPTestCase, "td_CMP_TC001_01_Workforce_Compensation_Configuration_Create_New_Plan_Cycle", Create New Plan Cycle, Not Applicable, , Not Applicable, Plan Cycle Name; Evaluation Period Start Date; Evaluation Period End Date; Plan Access Start Date; Plan Access End Date; Plan Short Name; HR Data Extraction Date, CMP_TC001_01_Workforce_Compensation_Configuration_Create_New_Plan_Cycle.robot
PFPTestCase, "td_CMP_TC001_05_Workforce_Compensation_Configuration_Modify_Engagement_Percentages_To_Be_Allocated_Based_On_Division", Workforce Compensation - Configuration - Modify Engagement Percentages To Be Allocated Based On Division, Not Applicable, , Compensation Option;Name;Range Or Match option;Action;User Defined Row Name;User Defined Value, Not Applicable, CMP_TC001_05_Workforce_Compensation_Configuration_Modify_Engagement_Percentages_To_Be_Allocated_Based_On_Division.robot
PFPTestCase, "td_CMP_TC001_06_Workforce_Compensation_Configuration_Modify_Iindividual_Performance_Percentages_To_Be_Allocated_Based_On_Performance_Rating", Workforce Compensation - Configuration - Modify individual performance percentages to be allocated based on performance rating, Not Applicable, , Worksheet Task;Task Name;Detail Column Name;User Defined Column Name;Column result value, Not Applicable, CMP_TC001_06_Workforce_Compensation_Configuration_Modify_Iindividual_Performance_Percentages_To_Be_Allocated_Based_On_Performance_Rating.robot
PFPTestCase, "td_CMP_TC001_07_Workforce_Compensation_Standard_Functionality_Administer_Employees_Mark_Employee_As_Eligible_For_PFP", Workforce Compensation - Standard Functionality - Administer Employees (mark employee as eligible for PFP), Person numbers with ineligible for PFP, Manager Login(PFP_common_test_data.csv); Person Number, Workforce Compensation group(PFP_common_test_data.csv); Eligibility Status, Not Applicable, CMP_TC001_07_Workforce_Compensation_Standard_Functionality_Administer_Employees_Mark_Employee_As_Eligible_For_PFP.robot
PFPTestCase, "td_CMP_TC001_08_Workforce_Compensation_Standard_Functionality_Administer_Employees_Mark_Employee_As_Ineligible_For_PFP", Workforce Compensation - Standard Functionality - Administer Employees (mark employee as ineligible for PFP), Person numbers with eligible for PFP, Manager Login(PFP_common_test_data.csv); Person Number, Workforce Compensation group(PFP_common_test_data.csv); Eligibility Status, Not Applicable, CMP_TC001_08_Workforce_Compensation_Standard_Functionality_Administer_Employees_Mark_Employee_As_Ineligible_For_PFP.robot
